EmployeeID,Department,Age,YearsExperience,Salary,PerformanceScore,Remote,Gender
1001,Engineering,24,2,58000,3.8,Yes,Female
1002,Engineering,31,7,85000,4.5,No,Male
1003,Sales,29,5,67000,4.0,Yes,Female
1004,Marketing,35,10,78000,4.2,No,Male
1005,HR,42,18,92000,4.7,No,Female
1006,Engineering,27,4,72000,4.1,Yes,Male
1007,Finance,39,15,99000,4.8,No,Female
1008,Sales,26,3,61000,3.7,Yes,Male
1009,Marketing,33,9,76000,4.3,Yes,Female
1010,Engineering,45,22,118000,4.9,No,Male
1011,Finance,38,12,94000,4.6,No,Male
1012,HR,30,6,69000,4.0,Yes,Female
1013,Engineering,28,5,75000,4.2,Yes,Female
1014,Sales,41,17,91000,4.5,No,Male
1015,Marketing,36,11,81000,4.3,No,Female
1016,Finance,50,28,130000,5.0,No,Male
1017,Engineering,32,8,87000,4.4,Yes,Male
1018,HR,29,4,64000,3.9,Yes,Female
1019,Sales,37,13,89000,4.6,No,Female
1020,Marketing,25,2,56000,3.6,Yes,Male
1021,Engineering,34,9,91000,4.5,No,Female
1022,Finance,43,19,108000,4.8,No,Male
1023,HR,31,7,73000,4.1,Yes,Male
1024,Sales,27,3,62000,3.8,Yes,Female
1025,Marketing,40,16,95000,4.7,No,Female
1026,Engineering,46,24,122000,4.9,No,Male
1027,Finance,35,10,88000,4.3,Yes,Female
1028,HR,28,5,67000,4.0,Yes,Male
1029,Sales,44,20,103000,4.8,No,Male
1030,Engineering,33,8,89000,4.4,Yes,Female
